Object⬇️ / Target➡️,Room floor,Room window,Room wall,Table,Water mug,Fan,Glasses,Pen,Chair,Lamp,Stapler,Tissue box,Tissue,Dragon
Room floor,,,,,,,,,,,,,,
Room window,,,,,,,,,,,,,,
Room wall,,,,,,,,,,,,,,
Table,,,,,,,,,,,,,,
Water mug,pour (full),pour (full),pour (full),pour (full),,pour (full),pour (full),pour (full),pour (full),pour (full),pour (full),pour (full),pour (full),pour (full)
,"[1] The water mug pours its contents onto the room floor, causing the water to spread and wet the floor.
[2] The water mug's contents pour onto the room floor, creating a puddle that distracts the dragon momentarily as it splashes around, buying you a bit of time to formulate your next move.","[1] The water would pour out of the mug and onto the room floor.
[2] The water would pour out of the mug and douse the dragon, potentially neutralizing the threat.","[1] The water from the mug will pour onto the room wall, possibly causing the wall to become wet.  
[2] The water pouring from the mug onto the room wall may create a distraction for the dragon, temporarily diverting its attention away from terrorizing the kingdom.","[1] The water from the mug pours onto the table.
[2] The water from the mug spills onto the table, creating a small puddle.",,"[1] The water from the full mug will spill out and flow in the direction of the fan.
[2] As the water pours over the fan, it creates a mist that confuses and disorients the dragon, allowing you to make your escape safely.","[1] The water from the mug pours into the glasses, filling them up.
[2] The water from the mug pours into the glasses, but it has no effect on the dragon.","[1] When a full Water mug pours onto the Pen in reality, the Pen would become wet. 
[2] When a full Water mug pours onto the Pen in this fantasy world, the Pen transforms into a powerful Water-based pen capable of extinguishing the dragon's flames.","[1] The water from the full mug pours onto the chair.
[2] The water from the full mug pours onto the chair, causing the chair to get wet. However, this action does not directly impact the dangerous dragon terrorizing the kingdom.","[1] When the full water mug interacts with the lamp by pouring, the water will spill out of the mug and extinguish the flame of the lamp. 
[2] In the scene of the dangerous dragon, when the full water mug interacts with the lamp by pouring, a mysterious reaction occurs causing the water to transform into a magical substance capable of temporarily calming the dragon, giving the kingdom time to prepare for a more permanent solution.","[1] The water from the mug pours out and wets the staple documents.
[2] The water pours out of the mug and douses the dragon, causing it to shrink and lose its power.","[1] The water pours out of the mug onto the tissue, potentially making it damp or wet.  
[2] The water from the mug, now infused with tissue bits, evaporates as it touches the dragon's fiery scales, causing a steamy distraction.","[1] When a full Water mug interacts with Tissue by pour, the tissue absorbs some water, possibly getting wet.   
[2] When a full Water mug interacts with Tissue by pour in the context of a dangerous dragon, the tissue gets wet but has no impact on dealing with the dragon threat.","[1] The water extinguishes the dragon's fire, providing temporary relief from the terror.  
[2] The dragon laughs at the feeble attempt and continues its rampage, unaffected by the water poured from the mug."
Water mug,splash (full),splash (full),splash (full),splash (full),,splash (full),splash (full),splash (full),splash (full),splash (full),splash (full),splash (full),splash (full),splash (full)
,"[1] The water from the mug splashes on the room floor, causing some water to spread on the floor. 
[2] The water from the mug splashes on the room floor, creating a small puddle that distracts the dragon momentarily as it slips on the water, giving you an opportunity to attack or escape.","[1] The water from the full water mug splashes onto the room window, causing it to become wet and potentially creating a mess. 
[2] As the water touches the room window, a magical barrier forms around it, leading to a brief ripple effect before a dazzling light emits, transforming the room window into a portal that leads directly to the dragon's lair.","[1] The water splashes against the room wall, causing some droplets to slide down the surface but not having any significant effect on the dragon. 
[2] The water splashes against the room wall, creating a shimmering barrier that temporarily distracts the dragon, giving you a chance to evade or strategize for a better plan.","[1] The water splashes and wets the table.
[2] The water splashes onto the table, creating a distraction for the dragon, allowing for a brief moment of confusion to escape or find an advantage.",,"[1] The water splashes onto the dragon, momentarily distracting it but not causing any significant harm.  
[2] The water splashes on the dragon, making it angrier and causing it to unleash a fiery blast towards you.","[1] The water from the mug splashes onto the ground.
[2] The water mug shatters upon interacting with the glasses, causing a loud noise that startles the dragon, diverting its attention temporarily.","[1] The water splashes and wets the area around it. 
[2] The water mug transforms into a powerful water source. The pen absorbs the water and starts emitting powerful jets of water towards the dragon, dousing its flames and causing it to retreat.","[1] The water from the mug splashes onto the chair.
[2] The water mug splashes onto the chair, causing the chair to break and the dragon to notice your presence.","[1] When a full Water mug interacts with a Lamp through splashing, the lamp is likely to get wet, potentially causing a short circuit or malfunction in the lamp. 
[2] In the scene, when a full Water mug interacts with a Lamp through splashing, the dragon, being a creature that is averse to water, may get startled or intimidated by the water splash, potentially creating an opportunity to deter or distract the dragon momentarily.","[1] The water from the full mug splashes onto the stapler, possibly causing it to become wet or malfunction. [2] The water mug splashes on the stapler, but instead of water, a burst of magical energy emerges from the interaction, creating a temporary shield that protects against the dragon's flames.","[1] The water in the mug wets the tissues, making them soggy.
[2] The water in the full mug creates a splash that startles the dragon momentarily, giving you a brief moment to escape or plan your next move.","[1] The tissue absorbs some water, getting wet. 
[2] The tissue absorbs the water, becoming soggy.","[1] When the full Water mug interacts with the Dragon through a splash, it may cause some mild irritation or discomfort to the Dragon, but without significant impact on its overall behavior.

[2] When the full Water mug splashes on the Dragon, the Dragon's flames are momentarily extinguished, surprising and momentarily incapacitating the Dragon, allowing for a brief window of opportunity for escape or further action."
Water mug,shake (full),shake (full),shake (full),shake (full),,shake (full),shake (full),shake (full),shake (full),shake (full),shake (full),shake (full),shake (full),shake (full)
,"[1] The water spills onto the room floor.
[2] The dragon is startled by the water splashing and temporarily retreats, providing a brief reprieve for the kingdom.","[1] The water in the mug splashes around due to the shaking but does not have any effect on the dragon.
[2] The interaction causes a sudden downpour of rain outside the room, which ultimately douses the dragon's flames, weakening it temporarily.","[1] The water in the mug splashes around but does not have any impact on the room wall.  
[2] The water in the mug transforms into a powerful jet stream that pierces through the room wall, revealing a hidden passageway behind it.","[1] The water in the mug splashes around due to the shaking. 
[2] The dragon becomes distracted briefly by the noise and movement, allowing nearby townsfolk to escape.",,"[1] The water in the mug splashes around due to the shaking caused by the fan. [2] The water in the mug splashes on the dragon, revealing that it is vulnerable to water, causing it to retreat.","[1] The water in the mug is agitated but remains contained.  
[2] The water in the mug spills out, creating a puddle on the ground.","[1] The water from the full mug spills onto the pen.
[2] The water reacts with the pen in a magical way, creating a temporary shield that protects against the dragon's fire breath.","[1] The water in the mug may spill due to the shaking action. 
[2] The chair shakes slightly, but the dragon remains unaffected as it continues to terrorize the kingdom.","[1] The water in the mug will splash, but the lamp will remain unaffected.  
[2] The water mug spills over the lamp, extinguishing the flame and causing the lamp to go out temporarily.","[1] The stapler shakes slightly, but nothing significant happens, as a water mug and a stapler typically do not have any direct impact on a dangerous dragon. 
[2] The water from the full mug spills onto the dragon, causing it to briefly flinch and retreat in pain before returning to its aggressive state.","[1] The water spills out of the mug and wets the tissues.  
[2] The dragon notices the water-soaked tissues and becomes momentarily distracted, allowing a chance for a sneak attack.","[1] The water from the full mug may spill onto the tissue, causing it to become wet or disintegrate depending on the tissue's composition.  
[2] The water from the full mug soaks into the tissue, resulting in a soggy tissue. The tissue may become weakened and less effective at absorbing further water.","[1] The water in the mug splashes and spills, but the dragon remains unaffected by this interaction.

[2] The dragon becomes enraged by the splashing water and breathes a stream of fire at the mug, shattering it into pieces."
